Meeting Topic,ID,Start Time,
VLED Summership Standup - Day V,93235054469,2026-05-20 09:04:23,
Polling Name :Version 2
Question,Answer,% of Votes,Choice Type,
Which principle is most important when using version control?,Speed of coding ,4%,Single Choice
Which principle is most important when using version control?,Collaboration and traceability ,80%,Single Choice
Which principle is most important when using version control?,File size optimization,15%,Single Choice
Which principle is most important when using version control?,UI design,1%,Single Choice
Which of the following tools were mentioned by Prakash as version control tools or related versioning options during the session?,"GitHub, VS Code, Eclipse, Bitbucket, SVN",14%,Single Choice
Which of the following tools were mentioned by Prakash as version control tools or related versioning options during the session?,"SVN, React, Angular, Mercurial, GitLab",2%,Single Choice
Which of the following tools were mentioned by Prakash as version control tools or related versioning options during the session?,"Git, GitHub, GitLab, Bitbucket, Mercurial",83%,Single Choice
Which of the following tools were mentioned by Prakash as version control tools or related versioning options during the session?,"Git, Docker, Jenkins, Kubernetes, GitHub",1%,Single Choice
Why does Git use SHA-1 hashing in version control systems?,To automatically encrypt files and prevent code editing,19%,Single Choice
Why does Git use SHA-1 hashing in version control systems?,To permanently compress files and increase transfer speed,6%,Single Choice
Why does Git use SHA-1 hashing in version control systems?,To directly convert source code into executable programs,7%,Single Choice
Why does Git use SHA-1 hashing in version control systems?,To uniquely identify files and reduce duplicate storage,64%,Single Choice
What is the purpose of a .gitignore file in Git?,To specify files that Git should not track,73%,Single Choice
What is the purpose of a .gitignore file in Git?,To permanently delete files from the repository,5%,Single Choice
What is the purpose of a .gitignore file in Git?,To automatically encrypt repository source files,12%,Single Choice
What is the purpose of a .gitignore file in Git?,To create duplicate backups of tracked project files,5%,Single Choice
